"phrase","definition","conjugation_overrides","manual_overrides","synonyms","notes"
"a-batir","knock down, overthrown, thrown down"
"abrasar","burn, set on fire"
"abrazar","embrace, hug, clamp"
"abrir","open","pp_rir"
"absolver","absolve, acquit","o:ue,pp_olver"
"abs-tener-se","abstain"
"aburrir","annoy,bore,vex"
"aburrirse","be bored,grow tired,grow weary"
"acabar","finish, end, complete",,,"terminar"
"acelerar","accelerate, speed, hasten"
"aceptar","accept"
"acercar","bring near,place near"
"acercarse","approach,draw near"
"acertar","hit the mark, hit upon, do (something) right, succeed in, guess right","e:ie"
"aclamar","acclaim,applaud,shout,hail"
"aclarar","explain,clarify,make clear,rinse,clear"
"acompañar","accompany,escort,go with,keep company"
"aconsejar","advise,counsel"
"acordar","agree upon","o:ue"
"acordarse","remember"
"acostarse","go to bed,lie down"
"acostar","put to bed"
"acostumbrar","be accustomed,be in the habit of"
"acuchillar","knife,cut,slash,cut open"
"acudir","attend,present frequently,respond (to a call)"
"acusar","accuse"
"adelantar","advance,keep on,progress,go ahead"
"adelantarse","go forward,go ahead,move ahead,take the lead"
"adivinar","divine,foretell,guess"
"admirar","admire"
"admitir","admit,grant,permit"
"adoptar","adopt"
"adorar","adore,worship"
"adquirir","acquire,get,obtain","i:ie"
"advertir","advertise,give notice,give warning,take notice of,warn","e:ie"
"afeitarse","shave oneself"
"agarrar","grasp,obtain,seize,catch,clutch"
"agitar","agitate,wave,shake up, stir"
"agotar","exhaust,use up"
"agradar","please,be pleasing"
"agradecer","thank,be thankful for"
"agrandar","enlarge,grow larger,increase"
"agravar","aggravate,make worse"
"agregar","add,collect,gather,aggregate,collate"
"agrupar","group"
"aguardar","expect,wait for"
"ahorrar","economize,save"
"alcanzar","reach,overtake"
"alegrarse","be glad"
"almorzar","have lunch","o:ue"
"alquilar","hire,rent"
"alumbrar","illuminate,light,enlighten"
"alumbrarse","be(get) high,get tipsy,become lively (from liquor)"
"alzar","heave,lift,pick up, raise (prices)"
"amar","love"
"añadir","add"
"andar","walk","use_er,e_and_o","{""conjugation_stems"":{""past"":""anduv""}}"
"anunciar","announce,foretell,proclaim"
"apagar","put out(flame,fire),extinguish,turn off (flame,fire,light)"
"a-parecer","appear,show up"
"aplaudir","applaud"
"apoderarse","take power,take possession"
"apreciar","appreciate,appraise,esteem"
"aprender","learn"
"apresurarse","hasten,hurry,rush"
"aprobar","approve,pass a test","o:ue"
"aprovechar","take advantage of, make the most of, make good use of"
"aprovecharse","take advantage, avail oneself"
"apurarse","fret,grieve,worry"
