"inf_ending","definition","conjugation_overrides","base_verb","manual_overrides","related_verbs"
"batir","beat, strike"
"acabar/de {{inf}}","have just {{verb_string}}",""
"acabar/por","end by",""
"aceptar/{{inf}}","agree {{verb_string}}"
"reclamar","claim,demand,reclaim"
"reclamar/en juicio","sue"
"reclamar/por daños","claim damages"
"acompañar","accompany,escort,go with,keep company"
"aconsejarse","seek advise,seek counsel"
"aconsejarse/de","seek advise with (of,from),seek counsel (of,from)"
"aconsejar/con","consult"
"descacordar","put out of tune,disagree",,"acordar"
"descacordarse","become forgetful",,"acordarse"
"acostar","put to bed","o:ue"
"acostarse/con las gallinas","go to bed very early"
"acudir/en soscorro de","go to help"
"acudir/con el remedio","get there with the remedy"
"acudir/a los tribunales","go to court(law)"
"afeitar","shave",,
"asistir/a","attend,be present at"
"asustar","frighten,scare"
"asustarse/de {{in}}","be afraid {{verb_string}}"
"atenerse/a","rely on,depend on"
"mantener","maintain"
"atravesar/con","meet"
"travesar","cross"
"atreverse/con","be insolent to,be offensive toward"
"bajar/de","get off"
"bajar/de valor","decline in value"
"bañar","bathe"
"bañar/un papel de la'grimas","bathe"
"bañar/a la luz","light up,illuminate"
"beber/en","drink from"
"querer/beber la sangre a otro","hate someone bitterly"
"desborrar","burl",,"borrar"
"emborrar","pad,stuff,wad,gulp down food",,"borrar"
"rebotar","bend back,repel,bounce back,rebound",,"botar"
"burlarse/de alguien","make fun of someone"
"burlar/a alguien","deceive someone"
"burlar",""
"rebuscar","search into meticulously"
"caer/de lo alto","fall from above"
"caer/de plano","fall flat"
"caer/en la cuenta","catch on,realize,get the point"
"caerse/a pedazos","fall to pieces"
"dejar/caer la voz","to drop one's voice"
