"phrase","definition","conjugation_overrides","manual_overrides","audio_url"
"agraviar","offend, outrage, hurt, wrong, injure","iar"
"agriar","sour, embitter, turn sour","iar"
"aliar","ally, league, unite","iar"
"aliviar","lighten, unburden, alleviate, relieve","-iar"
"amnistiar","amnesty","iar"
"amplifiar","amplify, magnify, extend","iar"
"anunciar","announce, foretell, proclaim","-iar"
"apreciar","appreciate, appraise, esteem","-iar"
"arriar","lower, strike (boat), flood, be flooded","iar"
"asociar","associate","-iar"
"beneficiar","benefit","-iar"
"cambiar","change","-iar"
"cariar", "cause cavities, decay","iar"
"cariciar","caress, pet, fondle","-iar"
"columpiar","swing, sway, play on a swing-set","-iar"
"confiar", "confide, trust, rely","iar"
"contrariar", "oppose, thwart, run counter to","iar"
"criar", "create, nurse, raise, rear, breed","iar"
"chirriar", "hiss, sizzle, chirp, screech, squeak","iar"
"denunciar","denounce","-iar"
"desafiar", "challenge, dare, rival","iar"
"descarriar", "mislead, lead astray, go wrong","iar"
"des-confiar", "mistrust, distrust, lack confidence in"
"despreciar","despise, condemn, look down on","-iar"
"desviar", "deviate, deflect, swerve, turn away","iar"
"divorciar","divorce","-iar"
"enfriar", "cool, make cool, get chilled","iar"
"ensuciar","soil, get dirty, stain, pollute","-iar"
"enviar", "send","iar"
"envidiar","envy","-iar"
"espiar", "spy, spy on","iar"
"esquiar", "ski","iar"
"estudiar","study","-iar"
"expatriar", "expatriate, leave one's country","iar"
"fastidiar","bug, annoy, bother","-iar"
"fiar", "answer for, bail, entrust, confide", "iar"
"fotografiar", "photograph, take pictures","iar"
"guiar", "guide, lead","iar"
"historiar", "depict (history), write down a history","iar"
"iniciar","initiate","-iar"
"inter-cambiar","interchange, exchange"
"inventariar", "inventory","iar"
"liar", "tie, bind, tie up, wrap up","iar"
"licenciar","license","-iar"
"limpiar","clean, wipe","-iar"
"obviar", "obviate, remove, surmount","iar"
"odiar","hate","-iar"
"paliar","pale","iar"
"piar", "chirp, peep","iar"
"porfiar", "insist, persist","iar"
"pronunciar","pronounce","-iar"
"repatriar", "repatriate, return "one's country","iar"
"resfriar", "cool, chill, grow cold","iar"
"rociar", "dew, spray, sprinkle","iar"
"telegrafiar", "telegraph","iar"
"vaciar", "empty","iar"
"variar", "alter, vary, change","iar"
"zurriar", "buzz, whirr","iar"
