full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"atraer","atraigo","atraes","atrae","atraemos","atraéis","atraen","atraía","atraías","atraía","atraíamos","atraíais","atraían","atraje","atrajiste","atrajo","atrajimos","atrajisteis","atrajeron","atraeré","atraerás","atraerá","atraeremos","atraeréis","atraerán","atraería","atraerías","atraería","atraeríamos","atraeríais","atraerían","atraiga","atraigas","atraiga","atraigamos","atraigáis","atraigan","atrajera","atrajeras","atrajera","atrajéramos","atrajerais","atrajeran",,"atrae","atraiga","atraigamos","atraed","atraigan",,"atraigas","atraiga","atraigamos","atraigáis","atraigan","atrayendo","atraído","atraído"
"caer","caigo","caes","cae","caemos","caéis","caen","caía","caías","caía","caíamos","caíais","caían","caí","caíste","cayó","caímos","caísteis","cayeron","caeré","caerás","caerá","caeremos","caeréis","caerán","caería","caerías","caería","caeríamos","caeríais","caerían","caiga","caigas","caiga","caigamos","caigáis","caigan","cayera","cayeras","cayera","cayéramos","cayerais","cayeran",,"cae","caiga","caigamos","caed","caigan",,"caigas","caiga","caigamos","caigáis","caigan","cayendo","caído","caído"
"caerse","me caigo","te caes","se cae","nos caemos","os caéis","se caen","me caía","te caías","se caía","nos caíamos","os caíais","se caían","me caí","te caíste","se cayó","nos caímos","os caísteis","se cayeron","me caeré","te caerás","se caerá","nos caeremos","os caeréis","se caerán","me caería","te caerías","se caería","nos caeríamos","os caeríais","se caerían","me caiga","te caigas","se caiga","nos caigamos","os caigáis","se caigan","me cayera","te cayeras","se cayera","nos cayéramos","os cayerais","se cayeran",,"cáete","cáigase","caigámonos","caeos","cáiganse",,"te caigas","cáigase","caigámonos","os caigáis","cáiganse","cayéndose","caído","caído"
"creer","creo","crees","cree","creemos","creéis","creen","creía","creías","creía","creíamos","creíais","creían","creí","creíste","creyó","creímos","creísteis","creyeron","creeré","creerás","creerá","creeremos","creeréis","creerán","creería","creerías","creería","creeríamos","creeríais","creerían","crea","creas","crea","creamos","creáis","crean","creyera","creyeras","creyera","creyéramos","creyerais","creyeran",,"cree","crea","creamos","creed","crean",,"creas","crea","creamos","creáis","crean","creyendo","creído","creído"
"freír","frío","fríes","fríe","freímos","freís","fríen","freía","freías","freía","freíamos","freíais","freían","freí","freíste","frió","freímos","freísteis","frieron","freiré","freirás","freirá","freiremos","freiréis","freirán","freiría","freirías","freiría","freiríamos","freiríais","freirían","fría","frías","fría","friamos","friáis","frían","friera","frieras","friera","friéramos","frierais","frieran",,"fríe","fría","friamos","freíd","frían",,"frías","fría","friamos","friáis","frían","friendo","frito","freído"
"leer","leo","lees","lee","leemos","leéis","leen","leía","leías","leía","leíamos","leíais","leían","leí","leíste","leyó","leímos","leísteis","leyeron","leeré","leerás","leerá","leeremos","leeréis","leerán","leería","leerías","leería","leeríamos","leeríais","leerían","lea","leas","lea","leamos","leáis","lean","leyera","leyeras","leyera","leyéramos","leyerais","leyeran",,"lee","lea","leamos","leed","lean",,"leas","lea","leamos","leáis","lean","leyendo","leído","leído"
"oír","oigo","oyes","oye","oímos","oís","oyen","oía","oías","oía","oíamos","oíais","oían","oí","oíste","oyó","oímos","oísteis","oyeron","oiré","oirás","oirá","oiremos","oiréis","oirán","oiría","oirías","oiría","oiríamos","oiríais","oirían","oiga","oigas","oiga","oigamos","oigáis","oigan","oyera","oyeras","oyera","oyéramos","oyerais","oyeran",,"oye","oiga","oigamos","oíd","oigan",,"oigas","oiga","oigamos","oigáis","oigan","oyendo","oído","oído"
"poseer","poseo","posees","posee","poseemos","poseéis","poseen","poseía","poseías","poseía","poseíamos","poseíais","poseían","poseí","poseíste","poseyó","poseímos","poseísteis","poseyeron","poseeré","poseerás","poseerá","poseeremos","poseeréis","poseerán","poseería","poseerías","poseería","poseeríamos","poseeríais","poseerían","posea","poseas","posea","poseamos","poseáis","posean","poseyera","poseyeras","poseyera","poseyéramos","poseyerais","poseyeran",,"posee","posea","poseamos","poseed","posean",,"poseas","posea","poseamos","poseáis","posean","poseyendo","poseído","poseído"
"raer","raigo","raes","rae","raemos","raéis","raen","raía","raías","raía","raíamos","raíais","raían","raí","raíste","rayó","raímos","raísteis","rayeron","raeré","raerás","raerá","raeremos","raeréis","raerán","raería","raerías","raería","raeríamos","raeríais","raerían","raiga","raigas","raiga","raigamos","raigáis","raigan","rayera","rayeras","rayera","rayéramos","rayerais","rayeran",,"rae","raiga","raigamos","raed","raigan",,"raigas","raiga","raigamos","raigáis","raigan","rayendo","raído","raído"
"reír","río","ríes","ríe","reímos","reís","ríen","reía","reías","reía","reíamos","reíais","reían","reí","reíste","rió","reímos","reísteis","rieron","reiré","reirás","reirá","reiremos","reiréis","reirán","reiría","reirías","reiría","reiríamos","reiríais","reirían","ría","rías","ría","riamos","riáis","rían","riera","rieras","riera","riéramos","rierais","rieran",,"ríe","ría","riamos","reíd","rían",,"rías","ría","riamos","riáis","rían","riendo","reído","reído"
