full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"acercar","acerco","acercas","acerca","acercamos","acercáis","acercan","acercaba","acercabas","acercaba","acercábamos","acercabais","acercaban","acerqué","acercaste","acercó","acercamos","acercasteis","acercaron","acercaré","acercarás","acercará","acercaremos","acercaréis","acercarán","acercaría","acercarías","acercaría","acercaríamos","acercaríais","acercarían","acerque","acerques","acerque","acerquemos","acerquéis","acerquen","acercara","acercaras","acercara","acercáramos","acercarais","acercaran",,"acerca","acerque","acerquemos","acercad","acerquen",,"acerques","acerque","acerquemos","acerquéis","acerquen","acercando","acercado","acercado"
"acercarse","me acerco","te acercas","se acerca","nos acercamos","os acercáis","se acercan","me acercaba","te acercabas","se acercaba","nos acercábamos","os acercabais","se acercaban","me acerqué","te acercaste","se acercó","nos acercamos","os acercasteis","se acercaron","me acercaré","te acercarás","se acercará","nos acercaremos","os acercaréis","se acercarán","me acercaría","te acercarías","se acercaría","nos acercaríamos","os acercaríais","se acercarían","me acerque","te acerques","se acerque","nos acerquemos","os acerquéis","se acerquen","me acercara","te acercaras","se acercara","nos acercáramos","os acercarais","se acercaran",,"acércate","acérquese","acerquémonos","acercaos","acérquense",,"te acerques","acérquese","acerquémonos","os acerquéis","acérquense","acercándose","acercado","acercado"
"arrancar","arranco","arrancas","arranca","arrancamos","arrancáis","arrancan","arrancaba","arrancabas","arrancaba","arrancábamos","arrancabais","arrancaban","arranqué","arrancaste","arrancó","arrancamos","arrancasteis","arrancaron","arrancaré","arrancarás","arrancará","arrancaremos","arrancaréis","arrancarán","arrancaría","arrancarías","arrancaría","arrancaríamos","arrancaríais","arrancarían","arranque","arranques","arranque","arranquemos","arranquéis","arranquen","arrancara","arrancaras","arrancara","arrancáramos","arrancarais","arrancaran",,"arranca","arranque","arranquemos","arrancad","arranquen",,"arranques","arranque","arranquemos","arranquéis","arranquen","arrancando","arrancado","arrancado"
"atacar","ataco","atacas","ataca","atacamos","atacáis","atacan","atacaba","atacabas","atacaba","atacábamos","atacabais","atacaban","ataqué","atacaste","atacó","atacamos","atacasteis","atacaron","atacaré","atacarás","atacará","atacaremos","atacaréis","atacarán","atacaría","atacarías","atacaría","atacaríamos","atacaríais","atacarían","ataque","ataques","ataque","ataquemos","ataquéis","ataquen","atacara","atacaras","atacara","atacáramos","atacarais","atacaran",,"ataca","ataque","ataquemos","atacad","ataquen",,"ataques","ataque","ataquemos","ataquéis","ataquen","atacando","atacado","atacado"
"buscar","busco","buscas","busca","buscamos","buscáis","buscan","buscaba","buscabas","buscaba","buscábamos","buscabais","buscaban","busqué","buscaste","buscó","buscamos","buscasteis","buscaron","buscaré","buscarás","buscará","buscaremos","buscaréis","buscarán","buscaría","buscarías","buscaría","buscaríamos","buscaríais","buscarían","busque","busques","busque","busquemos","busquéis","busquen","buscara","buscaras","buscara","buscáramos","buscarais","buscaran",,"busca","busque","busquemos","buscad","busquen",,"busques","busque","busquemos","busquéis","busquen","buscando","buscado","buscado"
"certificar","certifico","certificas","certifica","certificamos","certificáis","certifican","certificaba","certificabas","certificaba","certificábamos","certificabais","certificaban","certifiqué","certificaste","certificó","certificamos","certificasteis","certificaron","certificaré","certificarás","certificará","certificaremos","certificaréis","certificarán","certificaría","certificarías","certificaría","certificaríamos","certificaríais","certificarían","certifique","certifiques","certifique","certifiquemos","certifiquéis","certifiquen","certificara","certificaras","certificara","certificáramos","certificarais","certificaran",,"certifica","certifique","certifiquemos","certificad","certifiquen",,"certifiques","certifique","certifiquemos","certifiquéis","certifiquen","certificando","certificado","certificado"
"colocar","coloco","colocas","coloca","colocamos","colocáis","colocan","colocaba","colocabas","colocaba","colocábamos","colocabais","colocaban","coloqué","colocaste","colocó","colocamos","colocasteis","colocaron","colocaré","colocarás","colocará","colocaremos","colocaréis","colocarán","colocaría","colocarías","colocaría","colocaríamos","colocaríais","colocarían","coloque","coloques","coloque","coloquemos","coloquéis","coloquen","colocara","colocaras","colocara","colocáramos","colocarais","colocaran",,"coloca","coloque","coloquemos","colocad","coloquen",,"coloques","coloque","coloquemos","coloquéis","coloquen","colocando","colocado","colocado"
"convocar","convoco","convocas","convoca","convocamos","convocáis","convocan","convocaba","convocabas","convocaba","convocábamos","convocabais","convocaban","convoqué","convocaste","convocó","convocamos","convocasteis","convocaron","convocaré","convocarás","convocará","convocaremos","convocaréis","convocarán","convocaría","convocarías","convocaría","convocaríamos","convocaríais","convocarían","convoque","convoques","convoque","convoquemos","convoquéis","convoquen","convocara","convocaras","convocara","convocáramos","convocarais","convocaran",,"convoca","convoque","convoquemos","convocad","convoquen",,"convoques","convoque","convoquemos","convoquéis","convoquen","convocando","convocado","convocado"
"dedicarse","dedico","dedicas","dedica","dedicamos","dedicáis","dedican","dedicaba","dedicabas","dedicaba","dedicábamos","dedicabais","dedicaban","dediqué","dedicaste","dedicó","dedicamos","dedicasteis","dedicaron","dedicaré","dedicarás","dedicará","dedicaremos","dedicaréis","dedicarán","dedicaría","dedicarías","dedicaría","dedicaríamos","dedicaríais","dedicarían","dedique","dediques","dedique","dediquemos","dediquéis","dediquen","dedicara","dedicaras","dedicara","dedicáramos","dedicarais","dedicaran",,"dedícate","dedíquese","dediquémonos","dedicaos","dedíquense",,"te dediques","dedíquese","dediquémonos","os dediquéis","dedíquense","dedicando","dedicado","dedicado"
"equivocarse","equivoco","equivocas","equivoca","equivocamos","equivocáis","equivocan","equivocaba","equivocabas","equivocaba","equivocábamos","equivocabais","equivocaban","equivoqué","equivocaste","equivocó","equivocamos","equivocasteis","equivocaron","equivocaré","equivocarás","equivocará","equivocaremos","equivocaréis","equivocarán","equivocaría","equivocarías","equivocaría","equivocaríamos","equivocaríais","equivocarían","equivoque","equivoques","equivoque","equivoquemos","equivoquéis","equivoquen","equivocara","equivocaras","equivocara","equivocáramos","equivocarais","equivocaran",,"equivócate","equivóquese","equivoquémonos","equivocaos","equivóquense",,"te equivoques","equivóquese","equivoquémonos","os equivoquéis","equivóquense","equivocando","equivocado","equivocado"
