full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"bendecir","bendigo","bendices","bendice","bendecimos","bendecís","bendicen","bendecía","bendecías","bendecía","bendecíamos","bendecíais","bendecían","bendije","bendijiste","bendijo","bendijimos","bendijisteis","bendijeron","bendeciré","bendecirás","bendecirá","bendeciremos","bendeciréis","bendecirán","bendeciría","bendecirías","bendeciría","bendeciríamos","bendeciríais","bendecirían","bendiga","bendigas","bendiga","bendigamos","bendigáis","bendigan","bendijera","bendijeras","bendijera","bendijéramos","bendijerais","bendijeran",,"bendice","bendiga","bendigamos","bendecid","bendigan",,"bendigas","bendiga","bendigamos","bendigáis","bendigan","bendiciendo","bendecido","bendito"
"colegir","colijo","coliges","colige","colegimos","colegís","coligen","colegía","colegías","colegía","colegíamos","colegíais","colegían","colegí","colegiste","coligió","colegimos","colegisteis","coligieron","colegiré","colegirás","colegirá","colegiremos","colegiréis","colegirán","colegiría","colegirías","colegiría","colegiríamos","colegiríais","colegirían","colija","colijas","colija","colijamos","colijáis","colijan","coligiera","coligieras","coligiera","coligiéramos","coligierais","coligieran",,"colige","colija","colijamos","colegid","colijan",,"colijas","colija","colijamos","colijáis","colijan","coligiendo","colegido","colegido"
"conseguir","consigo","consigues","consigue","conseguimos","conseguís","consiguen","conseguía","conseguías","conseguía","conseguíamos","conseguíais","conseguían","conseguí","conseguiste","consiguió","conseguimos","conseguisteis","consiguieron","conseguiré","conseguirás","conseguirá","conseguiremos","conseguiréis","conseguirán","conseguiría","conseguirías","conseguiría","conseguiríamos","conseguiríais","conseguirían","consiga","consigas","consiga","consigamos","consigáis","consigan","consiguiera","consiguieras","consiguiera","consiguiéramos","consiguierais","consiguieran",,"consigue","consiga","consigamos","conseguid","consigan",,"consigas","consiga","consigamos","consigáis","consigan","consiguiendo","conseguido","conseguido"
"corregir","corrijo","corriges","corrige","corregimos","corregís","corrigen","corregía","corregías","corregía","corregíamos","corregíais","corregían","corregí","corregiste","corrigió","corregimos","corregisteis","corrigieron","corregiré","corregirás","corregirá","corregiremos","corregiréis","corregirán","corregiría","corregirías","corregiría","corregiríamos","corregiríais","corregirían","corrija","corrijas","corrija","corrijamos","corrijáis","corrijan","corrigiera","corrigieras","corrigiera","corrigiéramos","corrigierais","corrigieran",,"corrige","corrija","corrijamos","corregid","corrijan",,"corrijas","corrija","corrijamos","corrijáis","corrijan","corrigiendo","corregido","corregido"
"decir","digo","dices","dice","decimos","decís","dicen","decía","decías","decía","decíamos","decíais","decían","dije","dijiste","dijo","dijimos","dijisteis","dijeron","diré","dirás","dirá","diremos","diréis","dirán","diría","dirías","diría","diríamos","diríais","dirían","diga","digas","diga","digamos","digáis","digan","dijera","dijeras","dijera","dijéramos","dijerais","dijeran",,"di","diga","digamos","decid","digan",,"digas","diga","digamos","digáis","digan","diciendo","dicho","decido"
"despedirse","me despido","te despides","se despide","nos despedimos","os despedís","se despiden","me despedía","te despedías","se despedía","nos despedíamos","os despedíais","se despedían","me despedí","te despediste","se despidió","nos despedimos","os despedisteis","se despidieron","me despediré","te despedirás","se despedirá","nos despediremos","os despediréis","se despedirán","me despediría","te despedirías","se despediría","nos despediríamos","os despediríais","se despedirían","me despida","te despidas","se despida","nos despidamos","os despidáis","se despidan","me despidiera","te despidieras","se despidiera","nos despidiéramos","os despidierais","se despidieran",,"despídete","despídase","despidámonos","despedíos","despídanse",,"te despidas","despídase","despidámonos","os despidáis","despídanse","despidiéndose","despedido","despedido"
"desvestirse","me desvisto","te desvistes","se desviste","nos desvestimos","os desvestís","se desvisten","me desvestía","te desvestías","se desvestía","nos desvestíamos","os desvestíais","se desvestían","me desvestí","te desvestiste","se desvistió","nos desvestimos","os desvestisteis","se desvistieron","me desvestiré","te desvestirás","se desvestirá","nos desvestiremos","os desvestiréis","se desvestirán","me desvestiría","te desvestirías","se desvestiría","nos desvestiríamos","os desvestiríais","se desvestirían","me desvista","te desvistas","se desvista","nos desvistamos","os desvistáis","se desvistan","me desvistiera","te desvistieras","se desvistiera","nos desvistiéramos","os desvistierais","se desvistieran",,"desvístete","desvístase","desvistámonos","desvestíos","desvístanse",,"te desvistas","desvístase","desvistámonos","os desvistáis","desvístanse","desvistiéndose","desvestido","desvestido"
"elegir","elijo","eliges","elige","elegimos","elegís","eligen","elegía","elegías","elegía","elegíamos","elegíais","elegían","elegí","elegiste","eligió","elegimos","elegisteis","eligieron","elegiré","elegirás","elegirá","elegiremos","elegiréis","elegirán","elegiría","elegirías","elegiría","elegiríamos","elegiríais","elegirían","elija","elijas","elija","elijamos","elijáis","elijan","eligiera","eligieras","eligiera","eligiéramos","eligierais","eligieran",,"elige","elija","elijamos","elegid","elijan",,"elijas","elija","elijamos","elijáis","elijan","eligiendo","elegido","elegido"
"erguir","irgo","irgues","irgue","erguimos","erguís","irguen","erguía","erguías","erguía","erguíamos","erguíais","erguían","erguí","erguiste","irguió","erguimos","erguisteis","irguieron","erguiré","erguirás","erguirá","erguiremos","erguiréis","erguirán","erguiría","erguirías","erguiría","erguiríamos","erguiríais","erguirían","irga","irgas","irga","irgamos","irgáis","irgan","irguiera","irguieras","irguiera","irguiéramos","irguierais","irguieran",,"irgue","irga","irgamos","erguid","irgan",,"irgas","irga","irgamos","irgáis","irgan","irguiendo","erguido","erguido"
"freír","frío","fríes","fríe","freímos","freís","fríen","freía","freías","freía","freíamos","freíais","freían","freí","freíste","frió","freímos","freísteis","frieron","freiré","freirás","freirá","freiremos","freiréis","freirán","freiría","freirías","freiría","freiríamos","freiríais","freirían","fría","frías","fría","friamos","friáis","frían","friera","frieras","friera","friéramos","frierais","frieran",,"fríe","fría","friamos","freíd","frían",,"frías","fría","friamos","friáis","frían","friendo","frito","freído"
"gemir","gimo","gimes","gime","gemimos","gemís","gimen","gemía","gemías","gemía","gemíamos","gemíais","gemían","gemí","gemiste","gimió","gemimos","gemisteis","gimieron","gemiré","gemirás","gemirá","gemiremos","gemiréis","gemirán","gemiría","gemirías","gemiría","gemiríamos","gemiríais","gemirían","gima","gimas","gima","gimamos","gimáis","giman","gimiera","gimieras","gimiera","gimiéramos","gimierais","gimieran",,"gime","gima","gimamos","gemid","giman",,"gimas","gima","gimamos","gimáis","giman","gimiendo","gemido","gemido"
"impedir","impido","impides","impide","impedimos","impedís","impiden","impedía","impedías","impedía","impedíamos","impedíais","impedían","impedí","impediste","impidió","impedimos","impedisteis","impidieron","impediré","impedirás","impedirá","impediremos","impediréis","impedirán","impediría","impedirías","impediría","impediríamos","impediríais","impedirían","impida","impidas","impida","impidamos","impidáis","impidan","impidiera","impidieras","impidiera","impidiéramos","impidierais","impidieran",,"impide","impida","impidamos","impedid","impidan",,"impidas","impida","impidamos","impidáis","impidan","impidiendo","impedido","impedido"
"maldecir","maldigo","maldices","maldice","maldecimos","maldecís","maldicen","maldecía","maldecías","maldecía","maldecíamos","maldecíais","maldecían","maldije","maldijiste","maldijo","maldijimos","maldijisteis","maldijeron","maldeciré","maldecirás","maldecirá","maldeciremos","maldeciréis","maldecirán","maldeciría","maldecirías","maldeciría","maldeciríamos","maldeciríais","maldecirían","maldiga","maldigas","maldiga","maldigamos","maldigáis","maldigan","maldijera","maldijeras","maldijera","maldijéramos","maldijerais","maldijeran",,"maldice","maldiga","maldigamos","maldecid","maldigan",,"maldigas","maldiga","maldigamos","maldigáis","maldigan","maldiciendo","maldecido","maldito"
"medir","mido","mides","mide","medimos","medís","miden","medía","medías","medía","medíamos","medíais","medían","medí","mediste","midió","medimos","medisteis","midieron","mediré","medirás","medirá","mediremos","mediréis","medirán","mediría","medirías","mediría","mediríamos","mediríais","medirían","mida","midas","mida","midamos","midáis","midan","midiera","midieras","midiera","midiéramos","midierais","midieran",,"mide","mida","midamos","medid","midan",,"midas","mida","midamos","midáis","midan","midiendo","medido","medido"
