full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"abstenerse","me abstengo","te abstienes","se abstiene","nos abstenemos","os abstenéis","se abstienen","me abstenía","te abstenías","se abstenía","nos absteníamos","os absteníais","se abstenían","me abstuve","te abstuviste","se abstuvo","nos abstuvimos","os abstuvisteis","se abstuvieron","me abstendré","te abstendrás","se abstendrá","nos abstendremos","os abstendréis","se abstendrán","me abstendría","te abstendrías","se abstendría","nos abstendríamos","os abstendríais","se abstendrían","me abstenga","te abstengas","se abstenga","nos abstengamos","os abstengáis","se abstengan","me abstuviera","te abstuvieras","se abstuviera","nos abstuviéramos","os abstuvierais","se abstuvieran",,"abstente","absténgase","abstengámonos","absteneos","absténganse",,"te abstengas","absténgase","abstengámonos","os abstengáis","absténganse","absteniéndose","abstenido","abstenido"
"acertar","acierto","aciertas","acierta","acertamos","acertáis","aciertan","acertaba","acertabas","acertaba","acertábamos","acertabais","acertaban","acerté","acertaste","acertó","acertamos","acertasteis","acertaron","acertaré","acertarás","acertará","acertaremos","acertaréis","acertarán","acertaría","acertarías","acertaría","acertaríamos","acertaríais","acertarían","acierte","aciertes","acierte","acertemos","acertéis","acierten","acertara","acertaras","acertara","acertáramos","acertarais","acertaran",,"acierta","acierte","acertemos","acertad","acierten",,"aciertes","acierte","acertemos","acertéis","acierten","acertando","acertado","acertado"
"atenerse","me atengo","te atienes","se atiene","nos atenemos","os atenéis","se atienen","me atenía","te atenías","se atenía","nos ateníamos","os ateníais","se atenían","me atuve","te atuviste","se atuvo","nos atuvimos","os atuvisteis","se atuvieron","me atendré","te atendrás","se atendrá","nos atendremos","os atendréis","se atendrán","me atendría","te atendrías","se atendría","nos atendríamos","os atendríais","se atendrían","me atenga","te atengas","se atenga","nos atengamos","os atengáis","se atengan","me atuviera","te atuvieras","se atuviera","nos atuviéramos","os atuvierais","se atuvieran",,"atente","aténgase","atengámonos","ateneos","aténganse",,"te atengas","aténgase","atengámonos","os atengáis","aténganse","ateniéndose","atenido","atenido"
"atravesar","atravieso","atraviesas","atraviesa","atravesamos","atravesáis","atraviesan","atravesaba","atravesabas","atravesaba","atravesábamos","atravesabais","atravesaban","atravesé","atravesaste","atravesó","atravesamos","atravesasteis","atravesaron","atravesaré","atravesarás","atravesará","atravesaremos","atravesaréis","atravesarán","atravesaría","atravesarías","atravesaría","atravesaríamos","atravesaríais","atravesarían","atraviese","atravieses","atraviese","atravesemos","atraveséis","atraviesen","atravesara","atravesaras","atravesara","atravesáramos","atravesarais","atravesaran",,"atraviesa","atraviese","atravesemos","atravesad","atraviesen",,"atravieses","atraviese","atravesemos","atraveséis","atraviesen","atravesando","atravesado","atravesado"
"calentar","caliento","calientas","calienta","calentamos","calentáis","calientan","calentaba","calentabas","calentaba","calentábamos","calentabais","calentaban","calenté","calentaste","calentó","calentamos","calentasteis","calentaron","calentaré","calentarás","calentará","calentaremos","calentaréis","calentarán","calentaría","calentarías","calentaría","calentaríamos","calentaríais","calentarían","caliente","calientes","caliente","calentemos","calentéis","calienten","calentara","calentaras","calentara","calentáramos","calentarais","calentaran",,"calienta","caliente","calentemos","calentad","calienten",,"calientes","caliente","calentemos","calentéis","calienten","calentando","calentado","calentado"
"cerrar","cierro","cierras","cierra","cerramos","cerráis","cierran","cerraba","cerrabas","cerraba","cerrábamos","cerrabais","cerraban","cerré","cerraste","cerró","cerramos","cerrasteis","cerraron","cerraré","cerrarás","cerrará","cerraremos","cerraréis","cerrarán","cerraría","cerrarías","cerraría","cerraríamos","cerraríais","cerrarían","cierre","cierres","cierre","cerremos","cerréis","cierren","cerrara","cerraras","cerrara","cerráramos","cerrarais","cerraran",,"cierra","cierre","cerremos","cerrad","cierren",,"cierres","cierre","cerremos","cerréis","cierren","cerrando","cerrado","cerrado"
"comenzar","comienzo","comienzas","comienza","comenzamos","comenzáis","comienzan","comenzaba","comenzabas","comenzaba","comenzábamos","comenzabais","comenzaban","comencé","comenzaste","comenzó","comenzamos","comenzasteis","comenzaron","comenzaré","comenzarás","comenzará","comenzaremos","comenzaréis","comenzarán","comenzaría","comenzarías","comenzaría","comenzaríamos","comenzaríais","comenzarían","comience","comiences","comience","comencemos","comencéis","comiencen","comenzara","comenzaras","comenzara","comenzáramos","comenzarais","comenzaran",,"comienza","comience","comencemos","comenzad","comiencen",,"comiences","comience","comencemos","comencéis","comiencen","comenzando","comenzado","comenzado"
"confesar","confieso","confiesas","confiesa","confesamos","confesáis","confiesan","confesaba","confesabas","confesaba","confesábamos","confesabais","confesaban","confesé","confesaste","confesó","confesamos","confesasteis","confesaron","confesaré","confesarás","confesará","confesaremos","confesaréis","confesarán","confesaría","confesarías","confesaría","confesaríamos","confesaríais","confesarían","confiese","confieses","confiese","confesemos","confeséis","confiesen","confesara","confesaras","confesara","confesáramos","confesarais","confesaran",,"confiesa","confiese","confesemos","confesad","confiesen",,"confieses","confiese","confesemos","confeséis","confiesen","confesando","confesado","confesado"
"contener","contengo","contienes","contiene","contenemos","contenéis","contienen","contenía","contenías","contenía","conteníamos","conteníais","contenían","contuve","contuviste","contuvo","contuvimos","contuvisteis","contuvieron","contendré","contendrás","contendrá","contendremos","contendréis","contendrán","contendría","contendrías","contendría","contendríamos","contendríais","contendrían","contenga","contengas","contenga","contengamos","contengáis","contengan","contuviera","contuvieras","contuviera","contuviéramos","contuvierais","contuvieran",,"contén","contenga","contengamos","contened","contengan",,"contengas","contenga","contengamos","contengáis","contengan","conteniendo","contenido","contenido"
"convenir","convengo","convienes","conviene","convenimos","convenís","convienen","convenía","convenías","convenía","conveníamos","conveníais","convenían","convine","conviniste","convino","convinimos","convinisteis","convinieron","convendré","convendrás","convendrá","convendremos","convendréis","convendrán","convendría","convendrías","convendría","convendríamos","convendríais","convendrían","convenga","convengas","convenga","convengamos","convengáis","convengan","conviniera","convinieras","conviniera","conviniéramos","convinierais","convinieran",,"conviene","convenga","convengamos","convenid","convengan",,"convengas","convenga","convengamos","convengáis","convengan","conviniendo","convenido","convenido"
