full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"agregar","agrego","agregas","agrega","agregamos","agregáis","agregan","agregaba","agregabas","agregaba","agregábamos","agregabais","agregaban","agregué","agregaste","agregó","agregamos","agregasteis","agregaron","agregaré","agregarás","agregará","agregaremos","agregaréis","agregarán","agregaría","agregarías","agregaría","agregaríamos","agregaríais","agregarían","agregue","agregues","agregue","agreguemos","agreguéis","agreguen","agregara","agregaras","agregara","agregáramos","agregarais","agregaran",,"agrega","agregue","agreguemos","agregad","agreguen",,"agregues","agregue","agreguemos","agreguéis","agreguen","agregando","agregado","agregado"
"apagar","apago","apagas","apaga","apagamos","apagáis","apagan","apagaba","apagabas","apagaba","apagábamos","apagabais","apagaban","apagué","apagaste","apagó","apagamos","apagasteis","apagaron","apagaré","apagarás","apagará","apagaremos","apagaréis","apagarán","apagaría","apagarías","apagaría","apagaríamos","apagaríais","apagarían","apague","apagues","apague","apaguemos","apaguéis","apaguen","apagara","apagaras","apagara","apagáramos","apagarais","apagaran",,"apaga","apague","apaguemos","apagad","apaguen",,"apagues","apague","apaguemos","apaguéis","apaguen","apagando","apagado","apagado"
"cargar","cargo","cargas","carga","cargamos","cargáis","cargan","cargaba","cargabas","cargaba","cargábamos","cargabais","cargaban","cargué","cargaste","cargó","cargamos","cargasteis","cargaron","cargaré","cargarás","cargará","cargaremos","cargaréis","cargarán","cargaría","cargarías","cargaría","cargaríamos","cargaríais","cargarían","cargue","cargues","cargue","carguemos","carguéis","carguen","cargara","cargaras","cargara","cargáramos","cargarais","cargaran",,"carga","cargue","carguemos","cargad","carguen",,"cargues","cargue","carguemos","carguéis","carguen","cargando","cargado","cargado"
"colgar","cuelgo","cuelgas","cuelga","colgamos","colgáis","cuelgan","colgaba","colgabas","colgaba","colgábamos","colgabais","colgaban","colgué","colgaste","colgó","colgamos","colgasteis","colgaron","colgaré","colgarás","colgará","colgaremos","colgaréis","colgarán","colgaría","colgarías","colgaría","colgaríamos","colgaríais","colgarían","cuelgue","cuelgues","cuelgue","colguemos","colguéis","cuelguen","colgara","colgaras","colgara","colgáramos","colgarais","colgaran",,"cuelga","cuelgue","colguemos","colgad","cuelguen",,"cuelgues","cuelgue","colguemos","colguéis","cuelguen","colgando","colgado","colgado"
"despegar","despego","despegas","despega","despegamos","despegáis","despegan","despegaba","despegabas","despegaba","despegábamos","despegabais","despegaban","despegué","despegaste","despegó","despegamos","despegasteis","despegaron","despegaré","despegarás","despegará","despegaremos","despegaréis","despegarán","despegaría","despegarías","despegaría","despegaríamos","despegaríais","despegarían","despegue","despegues","despegue","despeguemos","despeguéis","despeguen","despegara","despegaras","despegara","despegáramos","despegarais","despegaran",,"despega","despegue","despeguemos","despegad","despeguen",,"despegues","despegue","despeguemos","despeguéis","despeguen","despegando","despegado","despegado"
"entregar","entrego","entregas","entrega","entregamos","entregáis","entregan","entregaba","entregabas","entregaba","entregábamos","entregabais","entregaban","entregué","entregaste","entregó","entregamos","entregasteis","entregaron","entregaré","entregarás","entregará","entregaremos","entregaréis","entregarán","entregaría","entregarías","entregaría","entregaríamos","entregaríais","entregarían","entregue","entregues","entregue","entreguemos","entreguéis","entreguen","entregara","entregaras","entregara","entregáramos","entregarais","entregaran",,"entrega","entregue","entreguemos","entregad","entreguen",,"entregues","entregue","entreguemos","entreguéis","entreguen","entregando","entregado","entregado"
"fregar","friego","friegas","friega","fregamos","fregáis","friegan","fregaba","fregabas","fregaba","fregábamos","fregabais","fregaban","fregué","fregaste","fregó","fregamos","fregasteis","fregaron","fregaré","fregarás","fregará","fregaremos","fregaréis","fregarán","fregaría","fregarías","fregaría","fregaríamos","fregaríais","fregarían","friegue","friegues","friegue","freguemos","freguéis","frieguen","fregara","fregaras","fregara","fregáramos","fregarais","fregaran",,"friega","friegue","freguemos","fregad","frieguen",,"friegues","friegue","freguemos","freguéis","frieguen","fregando","fregado","fregado"
"jugar","juego","juegas","juega","jugamos","jugáis","juegan","jugaba","jugabas","jugaba","jugábamos","jugabais","jugaban","jugué","jugaste","jugó","jugamos","jugasteis","jugaron","jugaré","jugarás","jugará","jugaremos","jugaréis","jugarán","jugaría","jugarías","jugaría","jugaríamos","jugaríais","jugarían","juegue","juegues","juegue","juguemos","juguéis","jueguen","jugara","jugaras","jugara","jugáramos","jugarais","jugaran",,"juega","juegue","juguemos","jugad","jueguen",,"juegues","juegue","juguemos","juguéis","jueguen","jugando","jugado","jugado"
"juzgar","juzgo","juzgas","juzga","juzgamos","juzgáis","juzgan","juzgaba","juzgabas","juzgaba","juzgábamos","juzgabais","juzgaban","juzgué","juzgaste","juzgó","juzgamos","juzgasteis","juzgaron","juzgaré","juzgarás","juzgará","juzgaremos","juzgaréis","juzgarán","juzgaría","juzgarías","juzgaría","juzgaríamos","juzgaríais","juzgarían","juzgue","juzgues","juzgue","juzguemos","juzguéis","juzguen","juzgara","juzgaras","juzgara","juzgáramos","juzgarais","juzgaran",,"juzga","juzgue","juzguemos","juzgad","juzguen",,"juzgues","juzgue","juzguemos","juzguéis","juzguen","juzgando","juzgado","juzgado"
"llegar","llego","llegas","llega","llegamos","llegáis","llegan","llegaba","llegabas","llegaba","llegábamos","llegabais","llegaban","llegué","llegaste","llegó","llegamos","llegasteis","llegaron","llegaré","llegarás","llegará","llegaremos","llegaréis","llegarán","llegaría","llegarías","llegaría","llegaríamos","llegaríais","llegarían","llegue","llegues","llegue","lleguemos","lleguéis","lleguen","llegara","llegaras","llegara","llegáramos","llegarais","llegaran",,"llega","llegue","lleguemos","llegad","lleguen",,"llegues","llegue","lleguemos","lleguéis","lleguen","llegando","llegado","llegado"
