full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"abstenerse","me abstengo","te abstienes","se abstiene","nos abstenemos","os abstenéis","se abstienen","me abstenía","te abstenías","se abstenía","nos absteníamos","os absteníais","se abstenían","me abstuve","te abstuviste","se abstuvo","nos abstuvimos","os abstuvisteis","se abstuvieron","me abstendré","te abstendrás","se abstendrá","nos abstendremos","os abstendréis","se abstendrán","me abstendría","te abstendrías","se abstendría","nos abstendríamos","os abstendríais","se abstendrían","me abstenga","te abstengas","se abstenga","nos abstengamos","os abstengáis","se abstengan","me abstuviera","te abstuvieras","se abstuviera","nos abstuviéramos","os abstuvierais","se abstuvieran",,"abstente","absténgase","abstengámonos","absteneos","absténganse",,"te abstengas","absténgase","abstengámonos","os abstengáis","absténganse","absteniéndose","abstenido","abstenido"
"atenerse","me atengo","te atienes","se atiene","nos atenemos","os atenéis","se atienen","me atenía","te atenías","se atenía","nos ateníamos","os ateníais","se atenían","me atuve","te atuviste","se atuvo","nos atuvimos","os atuvisteis","se atuvieron","me atendré","te atendrás","se atendrá","nos atendremos","os atendréis","se atendrán","me atendría","te atendrías","se atendría","nos atendríamos","os atendríais","se atendrían","me atenga","te atengas","se atenga","nos atengamos","os atengáis","se atengan","me atuviera","te atuvieras","se atuviera","nos atuviéramos","os atuvierais","se atuvieran",,"atente","aténgase","atengámonos","ateneos","aténganse",,"te atengas","aténgase","atengámonos","os atengáis","aténganse","ateniéndose","atenido","atenido"
"componer","compongo","compones","compone","componemos","componéis","componen","componía","componías","componía","componíamos","componíais","componían","compuse","compusiste","compuso","compusimos","compusisteis","compusieron","compondré","compondrás","compondrá","compondremos","compondréis","compondrán","compondría","compondrías","compondría","compondríamos","compondríais","compondrían","componga","compongas","componga","compongamos","compongáis","compongan","compusiera","compusieras","compusiera","compusiéramos","compusierais","compusieran",,"compón","componga","compongamos","componed","compongan",,"compongas","componga","compongamos","compongáis","compongan","componiendo","compuesto","compuesto"
"contener","contengo","contienes","contiene","contenemos","contenéis","contienen","contenía","contenías","contenía","conteníamos","conteníais","contenían","contuve","contuviste","contuvo","contuvimos","contuvisteis","contuvieron","contendré","contendrás","contendrá","contendremos","contendréis","contendrán","contendría","contendrías","contendría","contendríamos","contendríais","contendrían","contenga","contengas","contenga","contengamos","contengáis","contengan","contuviera","contuvieras","contuviera","contuviéramos","contuvierais","contuvieran",,"contén","contenga","contengamos","contened","contengan",,"contengas","contenga","contengamos","contengáis","contengan","conteniendo","contenido","contenido"
"detener","detengo","detienes","detiene","detenemos","detenéis","detienen","detenía","detenías","detenía","deteníamos","deteníais","detenían","detuve","detuviste","detuvo","detuvimos","detuvisteis","detuvieron","detendré","detendrás","detendrá","detendremos","detendréis","detendrán","detendría","detendrías","detendría","detendríamos","detendríais","detendrían","detenga","detengas","detenga","detengamos","detengáis","detengan","detuviera","detuvieras","detuviera","detuviéramos","detuvierais","detuvieran",,"detén","detenga","detengamos","detened","detengan",,"detengas","detenga","detengamos","detengáis","detengan","deteniendo","detenido","detenido"
"detenerse","me detengo","te detienes","se detiene","nos detenemos","os detenéis","se detienen","me detenía","te detenías","se detenía","nos deteníamos","os deteníais","se detenían","me detuve","te detuviste","se detuvo","nos detuvimos","os detuvisteis","se detuvieron","me detendré","te detendrás","se detendrá","nos detendremos","os detendréis","se detendrán","me detendría","te detendrías","se detendría","nos detendríamos","os detendríais","se detendrían","me detenga","te detengas","se detenga","nos detengamos","os detengáis","se detengan","me detuviera","te detuvieras","se detuviera","nos detuviéramos","os detuvierais","se detuvieran",,"detente","deténgase","detengámonos","deteneos","deténganse",,"te detengas","deténgase","detengámonos","os detengáis","deténganse","deteniéndose","detenido","detenido"
"mantener","mantengo","mantienes","mantiene","mantenemos","mantenéis","mantienen","mantenía","mantenías","mantenía","manteníamos","manteníais","mantenían","mantuve","mantuviste","mantuvo","mantuvimos","mantuvisteis","mantuvieron","mantendré","mantendrás","mantendrá","mantendremos","mantendréis","mantendrán","mantendría","mantendrías","mantendría","mantendríamos","mantendríais","mantendrían","mantenga","mantengas","mantenga","mantengamos","mantengáis","mantengan","mantuviera","mantuvieras","mantuviera","mantuviéramos","mantuvierais","mantuvieran",,"mantén","mantenga","mantengamos","mantened","mantengan",,"mantengas","mantenga","mantengamos","mantengáis","mantengan","manteniendo","mantenido","mantenido"
"obtener","obtengo","obtienes","obtiene","obtenemos","obtenéis","obtienen","obtenía","obtenías","obtenía","obteníamos","obteníais","obtenían","obtuve","obtuviste","obtuvo","obtuvimos","obtuvisteis","obtuvieron","obtendré","obtendrás","obtendrá","obtendremos","obtendréis","obtendrán","obtendría","obtendrías","obtendría","obtendríamos","obtendríais","obtendrían","obtenga","obtengas","obtenga","obtengamos","obtengáis","obtengan","obtuviera","obtuvieras","obtuviera","obtuviéramos","obtuvierais","obtuvieran",,"obtén","obtenga","obtengamos","obtened","obtengan",,"obtengas","obtenga","obtengamos","obtengáis","obtengan","obteniendo","obtenido","obtenido"
"oponer","opongo","opones","opone","oponemos","oponéis","oponen","oponía","oponías","oponía","oponíamos","oponíais","oponían","opuse","opusiste","opuso","opusimos","opusisteis","opusieron","opondré","opondrás","opondrá","opondremos","opondréis","opondrán","opondría","opondrías","opondría","opondríamos","opondríais","opondrían","oponga","opongas","oponga","opongamos","opongáis","opongan","opusiera","opusieras","opusiera","opusiéramos","opusierais","opusieran",,"opón","oponga","opongamos","oponed","opongan",,"opongas","oponga","opongamos","opongáis","opongan","oponiendo","opuesto","opuesto"
"poner","pongo","pones","pone","ponemos","ponéis","ponen","ponía","ponías","ponía","poníamos","poníais","ponían","puse","pusiste","puso","pusimos","pusisteis","pusieron","pondré","pondrás","pondrá","pondremos","pondréis","pondrán","pondría","pondrías","pondría","pondríamos","pondríais","pondrían","ponga","pongas","ponga","pongamos","pongáis","pongan","pusiera","pusieras","pusiera","pusiéramos","pusierais","pusieran",,"pon","ponga","pongamos","poned","pongan",,"pongas","ponga","pongamos","pongáis","pongan","poniendo","puesto","puesto"
"ponerse","me pongo","te pones","se pone","nos ponemos","os ponéis","se ponen","me ponía","te ponías","se ponía","nos poníamos","os poníais","se ponían","me puse","te pusiste","se puso","nos pusimos","os pusisteis","se pusieron","me pondré","te pondrás","se pondrá","nos pondremos","os pondréis","se pondrán","me pondría","te pondrías","se pondría","nos pondríamos","os pondríais","se pondrían","me ponga","te pongas","se ponga","nos pongamos","os pongáis","se pongan","me pusiera","te pusieras","se pusiera","nos pusiéramos","os pusierais","se pusieran",,"ponte","póngase","pongámonos","poneos","pónganse",,"te pongas","póngase","pongámonos","os pongáis","pónganse","poniéndose","puesto","puesto"
"salir","salgo","sales","sale","salimos","salís","salen","salía","salías","salía","salíamos","salíais","salían","salí","saliste","salió","salimos","salisteis","salieron","saldré","saldrás","saldrá","saldremos","saldréis","saldrán","saldría","saldrías","saldría","saldríamos","saldríais","saldrían","salga","salgas","salga","salgamos","salgáis","salgan","saliera","salieras","saliera","saliéramos","salierais","salieran",,"sal","salga","salgamos","salid","salgan",,"salgas","salga","salgamos","salgáis","salgan","saliendo","salido","salido"
"sostener","sostengo","sostienes","sostiene","sostenemos","sostenéis","sostienen","sostenía","sostenías","sostenía","sosteníamos","sosteníais","sostenían","sostuve","sostuviste","sostuvo","sostuvimos","sostuvisteis","sostuvieron","sostendré","sostendrás","sostendrá","sostendremos","sostendréis","sostendrán","sostendría","sostendrías","sostendría","sostendríamos","sostendríais","sostendrían","sostenga","sostengas","sostenga","sostengamos","sostengáis","sostengan","sostuviera","sostuvieras","sostuviera","sostuviéramos","sostuvierais","sostuvieran",,"sostén","sostenga","sostengamos","sostened","sostengan",,"sostengas","sostenga","sostengamos","sostengáis","sostengan","sosteniendo","sostenido","sostenido"
"suponer","supongo","supones","supone","suponemos","suponéis","suponen","suponía","suponías","suponía","suponíamos","suponíais","suponían","supuse","supusiste","supuso","supusimos","supusisteis","supusieron","supondré","supondrás","supondrá","supondremos","supondréis","supondrán","supondría","supondrías","supondría","supondríamos","supondríais","supondrían","suponga","supongas","suponga","supongamos","supongáis","supongan","supusiera","supusieras","supusiera","supusiéramos","supusierais","supusieran",,"supón","suponga","supongamos","suponed","supongan",,"supongas","suponga","supongamos","supongáis","supongan","suponiendo","supuesto","supuesto"
"tener","tengo","tienes","tiene","tenemos","tenéis","tienen","tenía","tenías","tenía","teníamos","teníais","tenían","tuve","tuviste","tuvo","tuvimos","tuvisteis","tuvieron","tendré","tendrás","tendrá","tendremos","tendréis","tendrán","tendría","tendrías","tendría","tendríamos","tendríais","tendrían","tenga","tengas","tenga","tengamos","tengáis","tengan","tuviera","tuvieras","tuviera","tuviéramos","tuvierais","tuvieran",,"ten","tenga","tengamos","tened","tengan",,"tengas","tenga","tengamos","tengáis","tengan","teniendo","tenido","tenido"
