full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"absolver","absuelvo","absuelves","absuelve","absolvemos","absolvéis","absuelven","absolvía","absolvías","absolvía","absolvíamos","absolvíais","absolvían","absolví","absolviste","absolvió","absolvimos","absolvisteis","absolvieron","absolveré","absolverás","absolverá","absolveremos","absolveréis","absolverán","absolvería","absolverías","absolvería","absolveríamos","absolveríais","absolverían","absuelva","absuelvas","absuelva","absolvamos","absolváis","absuelvan","absolviera","absolvieras","absolviera","absolviéramos","absolvierais","absolvieran",,"absuelve","absuelva","absolvamos","absolved","absuelvan",,"absuelvas","absuelva","absolvamos","absolváis","absuelvan","absolviendo","absuelto","absuelto"
"acordar","acuerdo","acuerdas","acuerda","acordamos","acordáis","acuerdan","acordaba","acordabas","acordaba","acordábamos","acordabais","acordaban","acordé","acordaste","acordó","acordamos","acordasteis","acordaron","acordaré","acordarás","acordará","acordaremos","acordaréis","acordarán","acordaría","acordarías","acordaría","acordaríamos","acordaríais","acordarían","acuerde","acuerdes","acuerde","acordemos","acordéis","acuerden","acordara","acordaras","acordara","acordáramos","acordarais","acordaran",,"acuerda","acuerde","acordemos","acordad","acuerden",,"acuerdes","acuerde","acordemos","acordéis","acuerden","acordando","acordado","acordado"
"acordarse","me acuerdo","te acuerdas","se acuerda","nos acordamos","os acordáis","se acuerdan","me acordaba","te acordabas","se acordaba","nos acordábamos","os acordabais","se acordaban","me acordé","te acordaste","se acordó","nos acordamos","os acordasteis","se acordaron","me acordaré","te acordarás","se acordará","nos acordaremos","os acordaréis","se acordarán","me acordaría","te acordarías","se acordaría","nos acordaríamos","os acordaríais","se acordarían","me acuerde","te acuerdes","se acuerde","nos acordemos","os acordéis","se acuerden","me acordara","te acordaras","se acordara","nos acordáramos","os acordarais","se acordaran",,"acuérdate","acuérdese","acordémonos","acordaos","acuérdense",,"te acuerdes","acuérdese","acordémonos","os acordéis","acuérdense","acordándose","acordado","acordado"
"acostarse","me acuesto","te acuestas","se acuesta","nos acostamos","os acostáis","se acuestan","me acostaba","te acostabas","se acostaba","nos acostábamos","os acostabais","se acostaban","me acosté","te acostaste","se acostó","nos acostamos","os acostasteis","se acostaron","me acostaré","te acostarás","se acostará","nos acostaremos","os acostaréis","se acostarán","me acostaría","te acostarías","se acostaría","nos acostaríamos","os acostaríais","se acostarían","me acueste","te acuestes","se acueste","nos acostemos","os acostéis","se acuesten","me acostara","te acostaras","se acostara","nos acostáramos","os acostarais","se acostaran",,"acuéstate","acuéstese","acostémonos","acostaos","acuéstense",,"te acuestes","acuéstese","acostémonos","os acostéis","acuéstense","acostándose","acostado","acostado"
"almorzar","almuerzo","almuerzas","almuerza","almorzamos","almorzáis","almuerzan","almorzaba","almorzabas","almorzaba","almorzábamos","almorzabais","almorzaban","almorcé","almorzaste","almorzó","almorzamos","almorzasteis","almorzaron","almorzaré","almorzarás","almorzará","almorzaremos","almorzaréis","almorzarán","almorzaría","almorzarías","almorzaría","almorzaríamos","almorzaríais","almorzarían","almuerce","almuerces","almuerce","almorcemos","almorcéis","almuercen","almorzara","almorzaras","almorzara","almorzáramos","almorzarais","almorzaran",,"almuerza","almuerce","almorcemos","almorzad","almuercen",,"almuerces","almuerce","almorcemos","almorcéis","almuercen","almorzando","almorzado","almorzado"
"aprobar","apruebo","apruebas","aprueba","aprobamos","aprobáis","aprueban","aprobaba","aprobabas","aprobaba","aprobábamos","aprobabais","aprobaban","aprobé","aprobaste","aprobó","aprobamos","aprobasteis","aprobaron","aprobaré","aprobarás","aprobará","aprobaremos","aprobaréis","aprobarán","aprobaría","aprobarías","aprobaría","aprobaríamos","aprobaríais","aprobarían","apruebe","apruebes","apruebe","aprobemos","aprobéis","aprueben","aprobara","aprobaras","aprobara","aprobáramos","aprobarais","aprobaran",,"aprueba","apruebe","aprobemos","aprobad","aprueben",,"apruebes","apruebe","aprobemos","aprobéis","aprueben","aprobando","aprobado","aprobado"
"colgar","cuelgo","cuelgas","cuelga","colgamos","colgáis","cuelgan","colgaba","colgabas","colgaba","colgábamos","colgabais","colgaban","colgué","colgaste","colgó","colgamos","colgasteis","colgaron","colgaré","colgarás","colgará","colgaremos","colgaréis","colgarán","colgaría","colgarías","colgaría","colgaríamos","colgaríais","colgarían","cuelgue","cuelgues","cuelgue","colguemos","colguéis","cuelguen","colgara","colgaras","colgara","colgáramos","colgarais","colgaran",,"cuelga","cuelgue","colguemos","colgad","cuelguen",,"cuelgues","cuelgue","colguemos","colguéis","cuelguen","colgando","colgado","colgado"
"contar","cuento","cuentas","cuenta","contamos","contáis","cuentan","contaba","contabas","contaba","contábamos","contabais","contaban","conté","contaste","contó","contamos","contasteis","contaron","contaré","contarás","contará","contaremos","contaréis","contarán","contaría","contarías","contaría","contaríamos","contaríais","contarían","cuente","cuentes","cuente","contemos","contéis","cuenten","contara","contaras","contara","contáramos","contarais","contaran",,"cuenta","cuente","contemos","contad","cuenten",,"cuentes","cuente","contemos","contéis","cuenten","contando","contado","contado"
"costar",,,"cuesta",,,"cuestan",,,"costaba",,,"costaban",,,"costó",,,"costaron",,,"costará",,,"costarán",,,"costaría",,,"costarían",,,"cueste",,,"cuesten",,,"costara",,,"costaran",,,"cueste",,,"cuesten",,,"cueste",,,"cuesten","costando","costado","costado"
"demostrar","demuestro","demuestras","demuestra","demostramos","demostráis","demuestran","demostraba","demostrabas","demostraba","demostrábamos","demostrabais","demostraban","demostré","demostraste","demostró","demostramos","demostrasteis","demostraron","demostraré","demostrarás","demostrará","demostraremos","demostraréis","demostrarán","demostraría","demostrarías","demostraría","demostraríamos","demostraríais","demostrarían","demuestre","demuestres","demuestre","demostremos","demostréis","demuestren","demostrara","demostraras","demostrara","demostráramos","demostrarais","demostraran",,"demuestra","demuestre","demostremos","demostrad","demuestren",,"demuestres","demuestre","demostremos","demostréis","demuestren","demostrando","demostrado","demostrado"
