full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"hacer","hago","haces","hace","hacemos","hacéis","hacen","hacía","hacías","hacía","hacíamos","hacíais","hacían","hice","hiciste","hizo","hicimos","hicisteis","hicieron","haré","harás","hará","haremos","haréis","harán","haría","harías","haría","haríamos","haríais","harían","haga","hagas","haga","hagamos","hagáis","hagan","hiciera","hicieras","hiciera","hiciéramos","hicierais","hicieran",,"hace","haga","hagamos","haced","hagan",,"hagas","haga","hagamos","hagáis","hagan","haciendo","hecho","hecho"
"hacer","hago","haces","hace","hacemos","hacéis","hacen","hacía","hacías","hacía","hacíamos","hacíais","hacían","hice","hiciste","hizo","hicimos","hicisteis","hicieron","haré","harás","hará","haremos","haréis","harán","haría","harías","haría","haríamos","haríais","harían","haga","hagas","haga","hagamos","hagáis","hagan","hiciera","hicieras","hiciera","hiciéramos","hicierais","hicieran",,"hace","haga","hagamos","haced","hagan",,"hagas","haga","hagamos","hagáis","hagan","haciendo","hecho","hecho"
"agradecer","agradezco","agradeces","agradece","agradecemos","agradecéis","agradecen","agradecía","agradecías","agradecía","agradecíamos","agradecíais","agradecían","agradecí","agradeciste","agradeció","agradecimos","agradecisteis","agradecieron","agradeceré","agradecerás","agradecerá","agradeceremos","agradeceréis","agradecerán","agradecería","agradecerías","agradecería","agradeceríamos","agradeceríais","agradecerían","agradezca","agradezcas","agradezca","agradezcamos","agradezcáis","agradezcan","agradeciera","agradecieras","agradeciera","agradeciéramos","agradecierais","agradecieran",,"agradece","agradezca","agradezcamos","agradeced","agradezcan",,"agradezcas","agradezca","agradezcamos","agradezcáis","agradezcan","agradeciendo","agradecido","agradecido"
"aparecer","aparezco","apareces","aparece","aparecemos","aparecéis","aparecen","aparecía","aparecías","aparecía","aparecíamos","aparecíais","aparecían","aparecí","apareciste","apareció","aparecimos","aparecisteis","aparecieron","apareceré","aparecerás","aparecerá","apareceremos","apareceréis","aparecerán","aparecería","aparecerías","aparecería","apareceríamos","apareceríais","aparecerían","aparezca","aparezcas","aparezca","aparezcamos","aparezcáis","aparezcan","apareciera","aparecieras","apareciera","apareciéramos","aparecierais","aparecieran",,"aparece","aparezca","aparezcamos","apareced","aparezcan",,"aparezcas","aparezca","aparezcamos","aparezcáis","aparezcan","apareciendo","aparecido","aparecido"
"conocer","conozco","conoces","conoce","conocemos","conocéis","conocen","conocía","conocías","conocía","conocíamos","conocíais","conocían","conocí","conociste","conoció","conocimos","conocisteis","conocieron","conoceré","conocerás","conocerá","conoceremos","conoceréis","conocerán","conocería","conocerías","conocería","conoceríamos","conoceríais","conocerían","conozca","conozcas","conozca","conozcamos","conozcáis","conozcan","conociera","conocieras","conociera","conociéramos","conocierais","conocieran",,"conoce","conozca","conozcamos","conoced","conozcan",,"conozcas","conozca","conozcamos","conozcáis","conozcan","conociendo","conocido","conocido"
"crecer","crezco","creces","crece","crecemos","crecéis","crecen","crecía","crecías","crecía","crecíamos","crecíais","crecían","crecí","creciste","creció","crecimos","crecisteis","crecieron","creceré","crecerás","crecerá","creceremos","creceréis","crecerán","crecería","crecerías","crecería","creceríamos","creceríais","crecerían","crezca","crezcas","crezca","crezcamos","crezcáis","crezcan","creciera","crecieras","creciera","creciéramos","crecierais","crecieran",,"crece","crezca","crezcamos","creced","crezcan",,"crezcas","crezca","crezcamos","crezcáis","crezcan","creciendo","crecido","crecido"
"deshacer","deshago","deshaces","deshace","deshacemos","deshacéis","deshacen","deshacía","deshacías","deshacía","deshacíamos","deshacíais","deshacían","deshice","deshiciste","deshizo","deshicimos","deshicisteis","deshicieron","desharé","desharás","deshará","desharemos","desharéis","desharán","desharía","desharías","desharía","desharíamos","desharíais","desharían","deshaga","deshagas","deshaga","deshagamos","deshagáis","deshagan","deshiciera","deshicieras","deshiciera","deshiciéramos","deshicierais","deshicieran",,"deshace","deshaga","deshagamos","deshaced","deshagan",,"deshagas","deshaga","deshagamos","deshagáis","deshagan","deshaciendo","deshecho","deshecho"
"establecer","establezco","estableces","establece","establecemos","establecéis","establecen","establecía","establecías","establecía","establecíamos","establecíais","establecían","establecí","estableciste","estableció","establecimos","establecisteis","establecieron","estableceré","establecerás","establecerá","estableceremos","estableceréis","establecerán","establecería","establecerías","establecería","estableceríamos","estableceríais","establecerían","establezca","establezcas","establezca","establezcamos","establezcáis","establezcan","estableciera","establecieras","estableciera","estableciéramos","establecierais","establecieran",,"establece","establezca","establezcamos","estableced","establezcan",,"establezcas","establezca","establezcamos","establezcáis","establezcan","estableciendo","establecido","establecido"
"merecer","merezco","mereces","merece","merecemos","merecéis","merecen","merecía","merecías","merecía","merecíamos","merecíais","merecían","merecí","mereciste","mereció","merecimos","merecisteis","merecieron","mereceré","merecerás","merecerá","mereceremos","mereceréis","merecerán","merecería","merecerías","merecería","mereceríamos","mereceríais","merecerían","merezca","merezcas","merezca","merezcamos","merezcáis","merezcan","mereciera","merecieras","mereciera","mereciéramos","merecierais","merecieran",,"merece","merezca","merezcamos","mereced","merezcan",,"merezcas","merezca","merezcamos","merezcáis","merezcan","mereciendo","merecido","merecido"
"nacer","nazco","naces","nace","nacemos","nacéis","nacen","nacía","nacías","nacía","nacíamos","nacíais","nacían","nací","naciste","nació","nacimos","nacisteis","nacieron","naceré","nacerás","nacerá","naceremos","naceréis","nacerán","nacería","nacerías","nacería","naceríamos","naceríais","nacerían","nazca","nazcas","nazca","nazcamos","nazcáis","nazcan","naciera","nacieras","naciera","naciéramos","nacierais","nacieran",,"nace","nazca","nazcamos","naced","nazcan",,"nazcas","nazca","nazcamos","nazcáis","nazcan","naciendo","nacido","nacido"
"obedecer","obedezco","obedeces","obedece","obedecemos","obedecéis","obedecen","obedecía","obedecías","obedecía","obedecíamos","obedecíais","obedecían","obedecí","obedeciste","obedeció","obedecimos","obedecisteis","obedecieron","obedeceré","obedecerás","obedecerá","obedeceremos","obedeceréis","obedecerán","obedecería","obedecerías","obedecería","obedeceríamos","obedeceríais","obedecerían","obedezca","obedezcas","obedezca","obedezcamos","obedezcáis","obedezcan","obedeciera","obedecieras","obedeciera","obedeciéramos","obedecierais","obedecieran",,"obedece","obedezca","obedezcamos","obedeced","obedezcan",,"obedezcas","obedezca","obedezcamos","obedezcáis","obedezcan","obedeciendo","obedecido","obedecido"
"ofrecer","ofrezco","ofreces","ofrece","ofrecemos","ofrecéis","ofrecen","ofrecía","ofrecías","ofrecía","ofrecíamos","ofrecíais","ofrecían","ofrecí","ofreciste","ofreció","ofrecimos","ofrecisteis","ofrecieron","ofreceré","ofrecerás","ofrecerá","ofreceremos","ofreceréis","ofrecerán","ofrecería","ofrecerías","ofrecería","ofreceríamos","ofreceríais","ofrecerían","ofrezca","ofrezcas","ofrezca","ofrezcamos","ofrezcáis","ofrezcan","ofreciera","ofrecieras","ofreciera","ofreciéramos","ofrecierais","ofrecieran",,"ofrece","ofrezca","ofrezcamos","ofreced","ofrezcan",,"ofrezcas","ofrezca","ofrezcamos","ofrezcáis","ofrezcan","ofreciendo","ofrecido","ofrecido"
"parecer","parezco","pareces","parece","parecemos","parecéis","parecen","parecía","parecías","parecía","parecíamos","parecíais","parecían","parecí","pareciste","pareció","parecimos","parecisteis","parecieron","pareceré","parecerás","parecerá","pareceremos","pareceréis","parecerán","parecería","parecerías","parecería","pareceríamos","pareceríais","parecerían","parezca","parezcas","parezca","parezcamos","parezcáis","parezcan","pareciera","parecieras","pareciera","pareciéramos","parecierais","parecieran",,"parece","parezca","parezcamos","pareced","parezcan",,"parezcas","parezca","parezcamos","parezcáis","parezcan","pareciendo","parecido","parecido"
"parecerse","me parezco","te pareces","se parece","nos parecemos","os parecéis","se parecen","me parecía","te parecías","se parecía","nos parecíamos","os parecíais","se parecían","me parecí","te pareciste","se pareció","nos parecimos","os parecisteis","se parecieron","me pareceré","te parecerás","se parecerá","nos pareceremos","os pareceréis","se parecerán","me parecería","te parecerías","se parecería","nos pareceríamos","os pareceríais","se parecerían","me parezca","te parezcas","se parezca","nos parezcamos","os parezcáis","se parezcan","me pareciera","te parecieras","se pareciera","nos pareciéramos","os parecierais","se parecieran",,"parécete","parézcase","parezcámonos","pareceos","parézcanse",,"te parezcas","parézcase","parezcámonos","os parezcáis","parézcanse","pareciéndose","parecido","parecido"
"pertenecer","pertenezco","perteneces","pertenece","pertenecemos","pertenecéis","pertenecen","pertenecía","pertenecías","pertenecía","pertenecíamos","pertenecíais","pertenecían","pertenecí","perteneciste","perteneció","pertenecimos","pertenecisteis","pertenecieron","perteneceré","pertenecerás","pertenecerá","perteneceremos","perteneceréis","pertenecerán","pertenecería","pertenecerías","pertenecería","perteneceríamos","perteneceríais","pertenecerían","pertenezca","pertenezcas","pertenezca","pertenezcamos","pertenezcáis","pertenezcan","perteneciera","pertenecieras","perteneciera","perteneciéramos","pertenecierais","pertenecieran",,"pertenece","pertenezca","pertenezcamos","perteneced","pertenezcan",,"pertenezcas","pertenezca","pertenezcamos","pertenezcáis","pertenezcan","perteneciendo","pertenecido","pertenecido"
