full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"ir","voy","vas","va","vamos","vais","van","iba","ibas","iba","Ã­bamos","ibais","iban","fui","fuiste","fue","fuimos","fuisteis","fueron","iré","irás","irá","iremos","iréis","irán","iría","irías","iría","iríamos","iríais","irían","vaya","vayas","vaya","vayamos","vayáis","vayan","fuera","fueras","fuera","fuéramos","fuerais","fueran",,"ve","vaya","vamos","id","vayan",,"vayas","vaya","vayamos","vayáis","vayan","yendo","ido","ido"
"irse","me voy","te vas","se va","nos vamos","os vais","se van","me iba","te ibas","se iba","nos Ã­bamos","os ibais","se iban","me fui","te fuiste","se fue","nos fuimos","os fuisteis","se fueron","me iré","te irás","se irá","nos iremos","os iréis","se irán","me iría","te irías","se iría","nos iríamos","os iríais","se irían","me vaya","te vayas","se vaya","nos vayamos","os vayáis","se vayan","me fuera","te fueras","se fuera","nos fuéramos","os fuerais","se fueran",,"vete","váyase","vámonos","íos","váyanse",,"te vayas","váyase","vayámonos","os vayáis","váyanse","yéndose","ido","ido"
"atraer","atraigo","atraes","atrae","atraemos","atraéis","atraen","atraía","atraías","atraía","atraíamos","atraíais","atraían","atraje","atrajiste","atrajo","atrajimos","atrajisteis","atrajeron","atraeré","atraerás","atraerá","atraeremos","atraeréis","atraerán","atraería","atraerías","atraería","atraeríamos","atraeríais","atraerían","atraiga","atraigas","atraiga","atraigamos","atraigáis","atraigan","atrajera","atrajeras","atrajera","atrajéramos","atrajerais","atrajeran",,"atrae","atraiga","atraigamos","atraed","atraigan",,"atraigas","atraiga","atraigamos","atraigáis","atraigan","atrayendo","atraído","atraído"
"caer","caigo","caes","cae","caemos","caéis","caen","caía","caías","caía","caíamos","caíais","caían","caí","caíste","cayó","caímos","caísteis","cayeron","caeré","caerás","caerá","caeremos","caeréis","caerán","caería","caerías","caería","caeríamos","caeríais","caerían","caiga","caigas","caiga","caigamos","caigáis","caigan","cayera","cayeras","cayera","cayéramos","cayerais","cayeran",,"cae","caiga","caigamos","caed","caigan",,"caigas","caiga","caigamos","caigáis","caigan","cayendo","caído","caído"
"caerse","me caigo","te caes","se cae","nos caemos","os caéis","se caen","me caía","te caías","se caía","nos caíamos","os caíais","se caían","me caí","te caíste","se cayó","nos caímos","os caísteis","se cayeron","me caeré","te caerás","se caerá","nos caeremos","os caeréis","se caerán","me caería","te caerías","se caería","nos caeríamos","os caeríais","se caerían","me caiga","te caigas","se caiga","nos caigamos","os caigáis","se caigan","me cayera","te cayeras","se cayera","nos cayéramos","os cayerais","se cayeran",,"cáete","cáigase","caigámonos","caeos","cáiganse",,"te caigas","cáigase","caigámonos","os caigáis","cáiganse","cayéndose","caído","caído"
"constituir","constituyo","constituyes","constituye","constituimos","constituís","constituyen","constituía","constituías","constituía","constituíamos","constituíais","constituían","constituí","constituiste","constituyó","constituimos","constituisteis","constituyeron","constituiré","constituirás","constituirá","constituiremos","constituiréis","constituirán","constituiría","constituirías","constituiría","constituiríamos","constituiríais","constituirían","constituya","constituyas","constituya","constituyamos","constituyáis","constituyan","constituyera","constituyeras","constituyera","constituyéramos","constituyerais","constituyeran",,"constituye","constituya","constituyamos","constituid","constituyan",,"constituyas","constituya","constituyamos","constituyáis","constituyan","constituyendo","constituido","constituido"
"construir","construyo","construyes","construye","construimos","construís","construyen","construía","construías","construía","construíamos","construíais","construían","construí","construiste","construyó","construimos","construisteis","construyeron","construiré","construirás","construirá","construiremos","construiréis","construirán","construiría","construirías","construiría","construiríamos","construiríais","construirían","construya","construyas","construya","construyamos","construyáis","construyan","construyera","construyeras","construyera","construyéramos","construyerais","construyeran",,"construye","construya","construyamos","construid","construyan",,"construyas","construya","construyamos","construyáis","construyan","construyendo","construido","construido"
"contribuir","contribuyo","contribuyes","contribuye","contribuimos","contribuís","contribuyen","contribuía","contribuías","contribuía","contribuíamos","contribuíais","contribuían","contribuí","contribuiste","contribuyó","contribuimos","contribuisteis","contribuyeron","contribuiré","contribuirás","contribuirá","contribuiremos","contribuiréis","contribuirán","contribuiría","contribuirías","contribuiría","contribuiríamos","contribuiríais","contribuirían","contribuya","contribuyas","contribuya","contribuyamos","contribuyáis","contribuyan","contribuyera","contribuyeras","contribuyera","contribuyéramos","contribuyerais","contribuyeran",,"contribuye","contribuya","contribuyamos","contribuid","contribuyan",,"contribuyas","contribuya","contribuyamos","contribuyáis","contribuyan","contribuyendo","contribuido","contribuido"
"creer","creo","crees","cree","creemos","creéis","creen","creía","creías","creía","creíamos","creíais","creían","creí","creíste","creyó","creímos","creísteis","creyeron","creeré","creerás","creerá","creeremos","creeréis","creerán","creería","creerías","creería","creeríamos","creeríais","creerían","crea","creas","crea","creamos","creáis","crean","creyera","creyeras","creyera","creyéramos","creyerais","creyeran",,"cree","crea","creamos","creed","crean",,"creas","crea","creamos","creáis","crean","creyendo","creído","creído"
"destruir","destruyo","destruyes","destruye","destruimos","destruís","destruyen","destruía","destruías","destruía","destruíamos","destruíais","destruían","destruí","destruiste","destruyó","destruimos","destruisteis","destruyeron","destruiré","destruirás","destruirá","destruiremos","destruiréis","destruirán","destruiría","destruirías","destruiría","destruiríamos","destruiríais","destruirían","destruya","destruyas","destruya","destruyamos","destruyáis","destruyan","destruyera","destruyeras","destruyera","destruyéramos","destruyerais","destruyeran",,"destruye","destruya","destruyamos","destruid","destruyan",,"destruyas","destruya","destruyamos","destruyáis","destruyan","destruyendo","destruido","destruido"
